case_id,source_group,region_sido,region_sigungu,deposit_range,contract_status,housing_type,senior_rights,guarantee_raw,dispute_type,progress_stage,situation_summary_safe,special_notes_safe,guarantee_product_type,search_text,source_type
CASE-0001,G01,서울,동작구,1억~2억,계약중(종료예정),다세대주택,근저당설정,가입,경매·공매,HUG이행청구,"다세대주택이며, 9개호실이 근저당 공동담보로 설정되어 있습니다. 새마을금고 552,000,000원 퇴실 후 보증금을 받지 못한 임차인이 경매신청을 했고, 9/30 강제경매개시결정으로 등기부에 기재되었습니다. (경매사건) 이 경매에 대해서 근저당권자인 새마을금고에서 나머지 호실에 대해서도 같이 경매를 신청할 수도 있는건가요?",1. 공동담보설정 상태에서 계약하여 후순위임차인,unknown,"보증상품 보증상품 미확인 | 주택유형 다세대주택 | 보증금구간 1억~2억 | 계약상태 계약중(종료예정) | 선순위권리 근저당설정 | 반환보증 가입 | 분쟁유형 경매·공매 | 진행단계 HUG이행청구 | 상황 다세대주택이며, 9개호실이 근저당 공동담보로 설정되어 있습니다. 새마을금고 552,000,000원 퇴실 후 보증금을 받지 못한 임차인이 경매신청을 했고, 9/30 강제경매개시결정으로 등기부에 기재되었습니다. (경매사건) 이 경매에 대해서 근저당권자인 새마을금고에서 나머지 호실에 대해서도 같이 경매를 신청할 수도 있는건가요? | 특이사항 1. 공동담보설정 상태에서 계약하여 후순위임차인",provided_synthetic_consultations
CASE-0002,G01,부산,강서구,3억 이상,계약종료,미상,압류·가압류,미상,기타·일반문의,임차권등기,계약만료일이 24년 5월 18일이 만기였는데 그날부터 원래 보증금인 3억4500을 받지 못하였고 임차권등기설정을 했습니다 그러던 와중 집을 매수하는 사람이 생겨서 매도인과 매수인이 계약을 하고 매수인이 매도인에게 준계약금중에 일부분인 1500만원을 임차인인 저희에게주었습니다 그런데 10월31일이 잔금날이라 저희는 집도 다 구해놨고 잔금날 맞춰서 이사일정도 다 잡아놨는데 잔금날 전에 임차권등기설정을 해제해줘야 대출이 나온다며 만기일 3일전에 임차권등기설정해제를 해달라고 하면서 매도인 매수인 부동산중개업자 이렇게 3명에서 31일에 잔금을 치루지 못하면 그 3명이 임차인의 보증금과 임차인의 이사에 관련된것들을 책임지겠다는 내용의 확인서 같은걸 인감증명서와 법무사와 함께 적어서 저희에게 종이서류를 준다는데 이게 법적으로 보증금과 이사갈집에대한 계약금등 이런걸 보상받을수있는지가 궁금하고 지금 매도인 상황이 개인회생 신청을 해서 저희도 부산회생법원에서 회생 결정문도 받은 상황입니다 지금같은 상황에 저희가 임차권등기설정 해제를 하면 지금 매도인이 매수인과 계약이 된 매물이지만 채권이나 압류가 될수도 있는지 저희에게 피해가 오는지 정확하게 돈을 받을수 있는상황인지,,unknown,보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 3억 이상 | 계약상태 계약종료 | 선순위권리 압류·가압류 | 반환보증 미상 | 분쟁유형 기타·일반문의 | 진행단계 임차권등기 | 상황 계약만료일이 24년 5월 18일이 만기였는데 그날부터 원래 보증금인 3억4500을 받지 못하였고 임차권등기설정을 했습니다 그러던 와중 집을 매수하는 사람이 생겨서 매도인과 매수인이 계약을 하고 매수인이 매도인에게 준계약금중에 일부분인 1500만원을 임차인인 저희에게주었습니다 그런데 10월31일이 잔금날이라 저희는 집도 다 구해놨고 잔금날 맞춰서 이사일정도 다 잡아놨는데 잔금날 전에 임차권등기설정을 해제해줘야 대출이 나온다며 만기일 3일전에 임차권등기설정해제를 해달라고 하면서 매도인 매수인 부동산중개업자 이렇게 3명에서 31일에 잔금을 치루지 못하면 그 3명이 임차인의 보증금과 임차인의 이사에 관련된것들을 책임지겠다는 내용의 확인서 같은걸 인감증명서와 법무사와 함께 적어서 저희에게 종이서류를 준다는데 이게 법적으로 보증금과 이사갈집에대한 계약금등 이런걸 보상받을수있는지가 궁금하고 지금 매도인 상황이 개인회생 신청을 해서 저희도 부산회생법원에서 회생 결정문도 받은 상황입니다 지금같은 상황에 저희가 임차권등기설정 해제를 하면 지금 매도인이 매수인과 계약이 된 매물이지만 채권이나 압류가 될수도 있는지 저희에게 피해가 오는지 정확하게 돈을 받을수 있는상황인지,provided_synthetic_consultations
CASE-0003,G01,충남,서산시,1억 미만,계약중(종료예정),아파트,미상,가입,묵시적갱신분쟁,상담·검토,"전세 보증 관련해서 몇가지 최초 계약 및 보증보험 기간 21/04/19~23/04/19 묵시적연장 및 추가 보증보험 기간 23/04/19~25/04/19 1.제 명의로 계약했고 (전입신고,확정일자,전세보증보험)세가지 를 진행하고 살고있는데 현시점에 아내만 다른 집 구해서 전세로 계약해서 나가려고 하는데 그러면 세대분리를 하고 와이프가 다른 아파트 전세계약으로 나가도 저는 여기에 남아있기 때문에 보증보험 반환 진행에 문제가 없을까요? 2. 현재 기준 6개월 남은 상황이고 되면서 보증보험도 동일하게 2년 추가 하였는데 묵시적 연장이니 이때 보험상 정해놓은 기간 전에 나가려고하면 기존 반환절차대로 먼저 진행 해도되는걸까요? 아래 문자로 먼저통보하려고 하는데 워딩문제 없는지도 확인 부탁드립니다. 안녕하세요. 서산시 21년 4월 19일 ~ 23년 4월 19일 까지 거주후 그리고 현재 묵시적 갱신 연장으로 거주중입니다만, 개인 사정으로 인해 25년 2월 7일 에 계약 해지 통보 하오니 확인 부탁드리며 해당 일정에 맞춰서 전세 보증금 반환",,jeonse_return,"보증상품 전세보증금반환보증 | 주택유형 아파트 | 보증금구간 1억 미만 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 가입 | 분쟁유형 묵시적갱신분쟁 | 진행단계 상담·검토 | 상황 전세 보증 관련해서 몇가지 최초 계약 및 보증보험 기간 21/04/19~23/04/19 묵시적연장 및 추가 보증보험 기간 23/04/19~25/04/19 1.제 명의로 계약했고 (전입신고,확정일자,전세보증보험)세가지 를 진행하고 살고있는데 현시점에 아내만 다른 집 구해서 전세로 계약해서 나가려고 하는데 그러면 세대분리를 하고 와이프가 다른 아파트 전세계약으로 나가도 저는 여기에 남아있기 때문에 보증보험 반환 진행에 문제가 없을까요? 2. 현재 기준 6개월 남은 상황이고 되면서 보증보험도 동일하게 2년 추가 하였는데 묵시적 연장이니 이때 보험상 정해놓은 기간 전에 나가려고하면 기존 반환절차대로 먼저 진행 해도되는걸까요? 아래 문자로 먼저통보하려고 하는데 워딩문제 없는지도 확인 부탁드립니다. 안녕하세요. 서산시 21년 4월 19일 ~ 23년 4월 19일 까지 거주후 그리고 현재 묵시적 갱신 연장으로 거주중입니다만, 개인 사정으로 인해 25년 2월 7일 에 계약 해지 통보 하오니 확인 부탁드리며 해당 일정에 맞춰서 전세 보증금 반환",provided_synthetic_consultations
CASE-0004,G01,부산,연제구,1억~2억,계약종료,미상,선순위존재,가입,경매·공매,소송제기,"25년 11월 25일까지 계약이었으나 24년 5월 중도해지 합의서 작성 24년 4월 말 임대인 보증보험 만료 24년 5월 허그 임대인 보증보험 연장 신청 24년 9월 초 허그 보증보험 취소 결정문 - 임대인의 허위서류제출 *현재 24년 1월 경매가 넘어가 있는 상황이며, 10월 13일 전세피해자결정 신청 접수 된 상황입니다. 허그 상대로 민사소송을 하고 싶은데 비용 및 절차가",1. 19.11 최초계약 / 선순위공동담보 29억설정상태 / 공인중개사통해서 계약,rental_deposit,"보증상품 임대보증금보증 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약종료 | 선순위권리 선순위존재 | 반환보증 가입 | 분쟁유형 경매·공매 | 진행단계 소송제기 | 상황 25년 11월 25일까지 계약이었으나 24년 5월 중도해지 합의서 작성 24년 4월 말 임대인 보증보험 만료 24년 5월 허그 임대인 보증보험 연장 신청 24년 9월 초 허그 보증보험 취소 결정문 - 임대인의 허위서류제출 *현재 24년 1월 경매가 넘어가 있는 상황이며, 10월 13일 전세피해자결정 신청 접수 된 상황입니다. 허그 상대로 민사소송을 하고 싶은데 비용 및 절차가 | 특이사항 1. 19.11 최초계약 / 선순위공동담보 29억설정상태 / 공인중개사통해서 계약",provided_synthetic_consultations
CASE-0005,G01,경기,안성시,1억 미만,계약종료,빌라,압류·가압류,미상,기타·일반문의,상담·검토,1. 22년 8월 빌라 계약(부동산 / 1년) 2. 23년 8월 재계약 (계약서만 보내줌) 3. 24년 7월 1.5룸 자리 있을시 변경 해달라고 하고 계약서 미작성 4. 24년 10월 연락이 없어서 나간다고 말하니 가압류로 전세금 반환 불가 (2-5개월만 기다려달라고 함) 5. 가압류 확인시 23.6월 확인 문자나 이런건 안남기고 전화로 했는데 ㅠㅠ 어떻게 처리 해야할지 막막합니다,1. 임대인이 건축주,unknown,보증상품 보증상품 미확인 | 주택유형 빌라 | 보증금구간 1억 미만 | 계약상태 계약종료 | 선순위권리 압류·가압류 | 반환보증 미상 | 분쟁유형 기타·일반문의 | 진행단계 상담·검토 | 상황 1. 22년 8월 빌라 계약(부동산 / 1년) 2. 23년 8월 재계약 (계약서만 보내줌) 3. 24년 7월 1.5룸 자리 있을시 변경 해달라고 하고 계약서 미작성 4. 24년 10월 연락이 없어서 나간다고 말하니 가압류로 전세금 반환 불가 (2-5개월만 기다려달라고 함) 5. 가압류 확인시 23.6월 확인 문자나 이런건 안남기고 전화로 했는데 ㅠㅠ 어떻게 처리 해야할지 막막합니다 | 특이사항 1. 임대인이 건축주,provided_synthetic_consultations
CASE-0006,G01,경기,안산시,1억~2억,계약중(종료예정),미상,미상,미상,전세사기,상담·검토,"집주인이 돈을 갚지 못해 집주인 소유의 건물이 경매로 넘어갔습니다 저희가 무엇을 어떻게 대처해야 하는지 보증금을 받을 수 있는건지, 가능하다면 방법을 알고 싶습니다",1. 해당 주택외로 다수의 주택을 전세사기침,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 전세사기 | 진행단계 상담·검토 | 상황 집주인이 돈을 갚지 못해 집주인 소유의 건물이 경매로 넘어갔습니다 저희가 무엇을 어떻게 대처해야 하는지 보증금을 받을 수 있는건지, 가능하다면 방법을 알고 싶습니다 | 특이사항 1. 해당 주택외로 다수의 주택을 전세사기침",provided_synthetic_consultations
CASE-0007,G01,서울,강서구,1억~2억,계약종료,미상,근저당설정,가입,경매·공매,임차권등기,먼저 무료 상담에 감사드립니다 2024년 9월28일 기준으로 전세계약이 만료되었습니다. 전세금 2억9천5백 중 1억9천5백은 \\ 9월30일에 받은상태이며 나머지 1억원은 세입자가 들어올시 반환할수있다 합니다. 다른 이사갈집 잔금도 끝나고 이사날짜 까지 잡혀있고 생애 최초 취득세 감면관련 12월28일까지 전입신고를 해야 하는상황입니다. 전세잔금 1억원을 주기전까지는 전출신고를 할수없다 집주인한테 말하였습니다. 집주인은 저희가 전출신고를 하는 차 공증 해드린다 했지만 거부 했고 2차 : 집주인이 임대 사업자이기에 거주하고 있는 주택을 근저당 을 잡아줄테니 전출신고를 요청합니다. 9월30일에 지급한 1억9천5백을 세입자가 들어오는 조건으로 삼성생명에 빌렸기에(이부분은 확인됬습니다) 전출을 부탁한다고 합니다. 다른 주택에 근저당을 잡는다 하여도 전출신고를 하게되면 전세잔금 1억원에 대한 보장이 안되는걸로 알고있습니다. *근저당 만기 날짜를 12월27일로 한다고 한다면 종료후에도 1억원을 받지 못한다면 경매를 통해 금액을 받는건지 지금 상황에 근저당 조차 해줄필요없이 임차권등기 후 이사를 맘편히 가면되는건지,1. 임대사업자 / hug보험가입 / 24.09.28 계약만료라 hug에서는 묵시적갱신이 되었으니 이행청구 거절!!,unknown,보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약종료 | 선순위권리 근저당설정 | 반환보증 가입 | 분쟁유형 경매·공매 | 진행단계 임차권등기 | 상황 먼저 무료 상담에 감사드립니다 2024년 9월28일 기준으로 전세계약이 만료되었습니다. 전세금 2억9천5백 중 1억9천5백은 \\ 9월30일에 받은상태이며 나머지 1억원은 세입자가 들어올시 반환할수있다 합니다. 다른 이사갈집 잔금도 끝나고 이사날짜 까지 잡혀있고 생애 최초 취득세 감면관련 12월28일까지 전입신고를 해야 하는상황입니다. 전세잔금 1억원을 주기전까지는 전출신고를 할수없다 집주인한테 말하였습니다. 집주인은 저희가 전출신고를 하는 차 공증 해드린다 했지만 거부 했고 2차 : 집주인이 임대 사업자이기에 거주하고 있는 주택을 근저당 을 잡아줄테니 전출신고를 요청합니다. 9월30일에 지급한 1억9천5백을 세입자가 들어오는 조건으로 삼성생명에 빌렸기에(이부분은 확인됬습니다) 전출을 부탁한다고 합니다. 다른 주택에 근저당을 잡는다 하여도 전출신고를 하게되면 전세잔금 1억원에 대한 보장이 안되는걸로 알고있습니다. *근저당 만기 날짜를 12월27일로 한다고 한다면 종료후에도 1억원을 받지 못한다면 경매를 통해 금액을 받는건지 지금 상황에 근저당 조차 해줄필요없이 임차권등기 후 이사를 맘편히 가면되는건지 | 특이사항 1. 임대사업자 / hug보험가입 / 24.09.28 계약만료라 hug에서는 묵시적갱신이 되었으니 이행청구 거절!!,provided_synthetic_consultations
CASE-0008,G01,대전,서구,1억~2억,계약중(종료예정),다가구주택,근저당설정,미상,경매·공매,상담·검토,다음 달 계약 종료인데 돈을 못주겠다는 상황이고 피해자들이 엄청 많습니다. 다가구에 거주하고 있고 경매 진행시 제가 돈을 받을 수 있을지가,1. 다가구주택 18.11월 최초계약 / 선순위근저당13억 설정상태였음,unknown,보증상품 보증상품 미확인 | 주택유형 다가구주택 | 보증금구간 1억~2억 | 계약상태 계약중(종료예정) | 선순위권리 근저당설정 | 반환보증 미상 | 분쟁유형 경매·공매 | 진행단계 상담·검토 | 상황 다음 달 계약 종료인데 돈을 못주겠다는 상황이고 피해자들이 엄청 많습니다. 다가구에 거주하고 있고 경매 진행시 제가 돈을 받을 수 있을지가 | 특이사항 1. 다가구주택 18.11월 최초계약 / 선순위근저당13억 설정상태였음,provided_synthetic_consultations
CASE-0009,G01,대전,서구,2억~3억,계약종료,미상,미상,가입,보증금미반환,임차권등기,"계약기간 22.10.12~ 24.10.11 보증금 2억6천만원, 보증보험 가입 24.6.3 이사 나가겠다고 임대인께 연락함. 임대인: 매매 내놓고, 매매 안되면 대출 받아서 주신다함. 24.8.19 임대인으로부터 집앞 부동산에서 만나자고 연락이 옴. 임대인: 전세퇴거자금대출해도 보증금 전액이 안 나오니, 매매될 때 까지 기다려달라고 함. 세입자: 매매될때 까지 기다릴 수 없고, 보증보험 받아서 나가겠다고 함. 임대인도 동의하심. 보증보험 이행청구하여 반환까지 시간이 걸리기 때문에 이사갈 집에 계약도 못하고 기다림. 24.8.29 임대인께서는 임차권등기는 안되겠다고, 보증금 마련을 위해 전세(2억4천만원)도 내놓으심. 계약만료 지나도 자동연장은 안하기로 함. 24.10.9 세입자는 임대인께 이사가겠다고한 후, 보증금이 보증보험으로 반환될것을 우려하여 섣불리 이사갈집 계약도 못 했고, 8월 29일 전세 내 놓으신다기에 급하게 집을 구하려 했지만, 마땅한 집을 구하지 못하여 임대인께 전세 내 놓으실꺼면 저희와 재연장하시고, 매매하시면 매매하실때까지 기다려드리겠다고 연락드림. 24.10.15 임대인께서 전세 연장은 거절하셨고, 세입자가 매매될때까지 기다려준다고해서 매매로 진행하신다고 연락이 옴. 요즘 매매 거래가 안되니 매매가 될때까지 편하게 살라고하심. 24.10.16 임대인께 매매될때까지 기다리긴 힘들고, 전세보증보험 받아서 나가겠다고 전달한 상황.... 이런 상황에서 궁금한 점은 저희가 6월3일, 이사나가겠다고 전달했고, 10월9일, 전세 재연장 또는 매매될때까지 살겠다고 제안드렸더니 10월15일, 전세 연장없이 세입자가 매매해도 기다려준다고했기에 매매하시겠다고 하십니다. 10월16일,세입자는 매매할때까지 기다리긴 힘들다고 번복했고, 전세보증보험 반환받고 나가겠다고 전달한 상황이예요. 전세 재연장 또는 매매될때까지 살겠다고 제안드렸던 부분이 전세보증보험 보증금반환 청구할 때,세입자의 귀책사유가 될까요?",1. 이행청구예정,jeonse_return,"보증상품 전세보증금반환보증 | 주택유형 미상 | 보증금구간 2억~3억 | 계약상태 계약종료 | 선순위권리 미상 | 반환보증 가입 | 분쟁유형 보증금미반환 | 진행단계 임차권등기 | 상황 계약기간 22.10.12~ 24.10.11 보증금 2억6천만원, 보증보험 가입 24.6.3 이사 나가겠다고 임대인께 연락함. 임대인: 매매 내놓고, 매매 안되면 대출 받아서 주신다함. 24.8.19 임대인으로부터 집앞 부동산에서 만나자고 연락이 옴. 임대인: 전세퇴거자금대출해도 보증금 전액이 안 나오니, 매매될 때 까지 기다려달라고 함. 세입자: 매매될때 까지 기다릴 수 없고, 보증보험 받아서 나가겠다고 함. 임대인도 동의하심. 보증보험 이행청구하여 반환까지 시간이 걸리기 때문에 이사갈 집에 계약도 못하고 기다림. 24.8.29 임대인께서는 임차권등기는 안되겠다고, 보증금 마련을 위해 전세(2억4천만원)도 내놓으심. 계약만료 지나도 자동연장은 안하기로 함. 24.10.9 세입자는 임대인께 이사가겠다고한 후, 보증금이 보증보험으로 반환될것을 우려하여 섣불리 이사갈집 계약도 못 했고, 8월 29일 전세 내 놓으신다기에 급하게 집을 구하려 했지만, 마땅한 집을 구하지 못하여 임대인께 전세 내 놓으실꺼면 저희와 재연장하시고, 매매하시면 매매하실때까지 기다려드리겠다고 연락드림. 24.10.15 임대인께서 전세 연장은 거절하셨고, 세입자가 매매될때까지 기다려준다고해서 매매로 진행하신다고 연락이 옴. 요즘 매매 거래가 안되니 매매가 될때까지 편하게 살라고하심. 24.10.16 임대인께 매매될때까지 기다리긴 힘들고, 전세보증보험 받아서 나가겠다고 전달한 상황.... 이런 상황에서 궁금한 점은 저희가 6월3일, 이사나가겠다고 전달했고, 10월9일, 전세 재연장 또는 매매될때까지 살겠다고 제안드렸더니 10월15일, 전세 연장없이 세입자가 매매해도 기다려준다고했기에 매매하시겠다고 하십니다. 10월16일,세입자는 매매할때까지 기다리긴 힘들다고 번복했고, 전세보증보험 반환받고 나가겠다고 전달한 상황이예요. 전세 재연장 또는 매매될때까지 살겠다고 제안드렸던 부분이 전세보증보험 보증금반환 청구할 때,세입자의 귀책사유가 될까요? | 특이사항 1. 이행청구예정",provided_synthetic_consultations
CASE-0010,G01,서울,영등포구,1억~2억,계약중(종료예정),미상,근저당설정,가입,기타·일반문의,상담·검토,"7월 27일 임대인에게 중도퇴실을 한다고 얘기를 하고 임대인이 허락을 하고, 지금과 똑같은 계약 조건으로 부동산에 중개를 내놓은 상황이였고, 오늘 (10/19) 집을 보러와서 집이 마음에 들어서 계약을 하려고 하는데, 임대인이 갑자기 보증보험 가입이 안되서 지금과 같은 조건으로 계약을 안하겠다고 하는데 이게 말이 되는건지 계약해지가 되는건지 확인 부탁드립니다. 임대인측에서는 오늘 통화한 부동산측이랑 통화를 하라고 하는데 이미 제가 몇번을 중도퇴실을 하겠다라고 말씀을 드렸고, 알겠다라고 얘기를 하고, 부동산 여러군데에 중개를 내놨는데 저한테 한마디 상의도 없이 갑자기 이렇게 보증보험 가입이 안되서 계약을 못한다고 하는건 아니라고 봅니다. 주택임대사업자인데다가 지금 제가 살고있는 집이 근저당이 잡혀있어서 보증보험가입을 하는데 몇개월이 걸린다고 하는데 그거는 임대인측 사정이라고 보고 저는 분명히 중도퇴실을 몇번을 얘기했고, 알겠다라는 답변을 받았으며 그에 대한 문자 내용도 있습니다.",10/21 부재중,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약중(종료예정) | 선순위권리 근저당설정 | 반환보증 가입 | 분쟁유형 기타·일반문의 | 진행단계 상담·검토 | 상황 7월 27일 임대인에게 중도퇴실을 한다고 얘기를 하고 임대인이 허락을 하고, 지금과 똑같은 계약 조건으로 부동산에 중개를 내놓은 상황이였고, 오늘 (10/19) 집을 보러와서 집이 마음에 들어서 계약을 하려고 하는데, 임대인이 갑자기 보증보험 가입이 안되서 지금과 같은 조건으로 계약을 안하겠다고 하는데 이게 말이 되는건지 계약해지가 되는건지 확인 부탁드립니다. 임대인측에서는 오늘 통화한 부동산측이랑 통화를 하라고 하는데 이미 제가 몇번을 중도퇴실을 하겠다라고 말씀을 드렸고, 알겠다라고 얘기를 하고, 부동산 여러군데에 중개를 내놨는데 저한테 한마디 상의도 없이 갑자기 이렇게 보증보험 가입이 안되서 계약을 못한다고 하는건 아니라고 봅니다. 주택임대사업자인데다가 지금 제가 살고있는 집이 근저당이 잡혀있어서 보증보험가입을 하는데 몇개월이 걸린다고 하는데 그거는 임대인측 사정이라고 보고 저는 분명히 중도퇴실을 몇번을 얘기했고, 알겠다라는 답변을 받았으며 그에 대한 문자 내용도 있습니다. | 특이사항 10/21 부재중",provided_synthetic_consultations
