상품명,경공매구분,경매신청일자,배당금액,대위변제금액,물건종류,물건 소재지
전세보증금반환보증,강제경매,2025-10-16,0,136000000,다세대주택,서울특별시 강서구 화곡로13길 151
전세보증금반환보증,강제경매,2024-12-17,105241537,218000000,다세대주택,인천광역시 부평구 부평문화로153번길 2
전세보증금반환보증,강제경매,2023-12-01,0,135000000,연립주택,
전세보증금반환보증,강제경매,2025-05-07,75820496,230000000,다세대주택,
전세보증금반환보증,강제경매,2025-06-05,0,135000000,아파트,
전세보증금반환보증,강제경매,2024-07-10,100617403,200000000,아파트,서울특별시 동작구 상도로47다길 10
개인임대사업자임대보증금보증,강제경매,2024-08-30,0,174000000,다세대주택,전라남도 광양시 담안3길 8
전세보증금반환보증,강제경매,2024-12-09,0,180000000,다세대주택,
전세보증금반환보증,강제경매,2025-02-19,0,170000000,아파트,
전세보증금반환보증,강제경매,2023-08-11,96158235,100000000,아파트,
전세보증금반환보증,강제경매,2025-02-27,0,100000000,다세대주택,서울특별시 강북구 인수봉로30길 26
전세보증금반환보증,강제경매,2024-11-12,0,172000000,아파트,경기도 오산시 독산성로 373
전세보증금반환보증,강제경매,2025-05-12,0,150000000,다세대주택,서울특별시 강서구 남부순환로19길 22
전세보증금반환보증,강제경매,2024-12-18,0,94000000,아파트,서울특별시 송파구 성내천로16길 15
전세보증금반환보증,강제경매,2023-10-20,77743624,76000000,다세대주택,경기도 화성시 토성로 0
전세보증금반환보증,강제경매,2025-10-01,0,130000000,다세대주택,경기도 광주시 사기소길 36
전세보증금반환보증,강제경매,2024-03-25,0,175000000,다세대주택,서울특별시 금천구 벚꽃로26길 17
전세보증금반환보증,강제경매,2025-07-02,0,110000000,아파트,서울특별시 금천구 독산로45나길 4
전세보증금반환보증,강제경매,2025-04-10,127941892,160000000,아파트,서울특별시 강서구 가로공원로86길 19
전세보증금반환보증,강제경매,2024-11-26,0,100000000,아파트,인천광역시 남동구 경인로667번길 33
전세보증금반환보증,강제경매,2024-08-14,0,120000000,다세대주택,서울특별시 마포구 월드컵북로58길 9
전세보증금반환보증,강제경매,2025-01-24,0,207000000,다세대주택,서울특별시 은평구 역말로9길 12
전세보증금반환보증,강제경매,2025-08-06,0,220000000,다세대주택,인천광역시 남동구 간석로25번길 16
전세보증금반환보증,강제경매,2023-10-06,0,113000000,다세대주택,경기도 파주시 장마루8길 17
전세보증금반환보증,강제경매,2025-02-17,0,175000000,다세대주택,
전세보증금반환보증,강제경매,2025-11-11,0,58000000,다세대주택,서울특별시 양천구 목동중앙서로7가길 16
전세보증금반환보증,강제경매,2025-12-19,0,135000000,다세대주택,
전세보증금반환보증,강제경매,2025-05-30,0,210000000,다세대주택,인천광역시 부평구 마장로168번길 25
전세보증금반환보증,강제경매,2024-05-17,0,190000000,다세대주택,서울특별시 구로구 구일로 52
전세보증금반환보증,강제경매,2025-02-13,0,78000000,아파트,서울특별시 구로구 도림로23길 16
전세보증금반환보증,강제경매,2025-07-21,0,120000000,아파트,인천광역시 서구 명가골로34번길 7
전세보증금반환보증,강제경매,2024-06-14,105714009,126000000,아파트,
전세보증금반환보증,강제경매,2023-07-04,0,52800000,다세대주택,
전세보증금반환보증,강제경매,2025-08-05,0,175000000,아파트,
전세보증금반환보증,강제경매,2023-12-06,120157032,200000000,아파트,서울특별시 동대문구 외대역동로27길 81
전세보증금반환보증,강제경매,2024-04-09,0,109000000,다세대주택,
전세보증금반환보증,강제경매,2024-08-13,0,108000000,다세대주택,
전세보증금반환보증,강제경매,2025-03-10,47128738,178000000,다세대주택,인천광역시 부평구 경원대로1256번길 7
전세보증금반환보증,강제경매,2025-08-25,0,110000000,아파트,인천광역시 부평구 여우재로26번길 43
전세보증금반환보증,강제경매,2024-11-25,0,180000000,아파트,서울특별시 은평구 불광로9길 1
전세보증금반환보증,강제경매,2025-02-20,51980406,223000000,다세대주택,부산광역시 수영구 망미번영로91번길 16
전세보증금반환보증,강제경매,2023-11-10,171917320,180000000,다세대주택,서울특별시 금천구 시흥대로136길 24
전세보증금반환보증,강제경매,2024-11-08,0,186000000,다세대주택,인천광역시 서구 가정로261번길 10
전세보증금반환보증,강제경매,2025-11-17,0,193000000,다세대주택,부산광역시 동래구 우장춘로4번길 23
전세보증금반환보증,강제경매,2025-03-25,0,120000000,다세대주택,
전세보증금반환보증,강제경매,2025-04-01,50073451,198000000,다세대주택,인천광역시 남동구 인하로535번길 17
전세보증금반환보증,강제경매,2024-03-21,0,173000000,다세대주택,인천광역시 남동구 남동대로799번길 38
전세보증금반환보증,강제경매,2024-11-29,173052487,175000000,아파트,인천광역시 부평구 주부토로235번길 25
전세보증금반환보증,강제경매,2025-07-22,0,123000000,아파트,
전세보증금반환보증,강제경매,2025-09-02,44495127,172000000,다세대주택,서울특별시 강서구 개화동로8길 19
전세보증금반환보증,강제경매,2025-06-20,121736123,95000000,다세대주택,
