채무자 법인/개인사업자 구분,보증종료일자,사고사유,사업장지역상세,주택형태,임대보증금 금액,임대보증금 금액 대비 사고금액 (%),보증종료일자 기준 사고발생일자 소요일
개인사업자,2024-10-24,기간만료미반환,대구광역시 수성구 들안로8길 21,기타(오피스텔),450000000,100.0,-42
개인사업자,2023-11-22,기간만료미반환,광주광역시 북구 설죽로455번길 10,다세대주택,380000000,100.0,60
개인사업자,2022-09-26,기간만료미반환,부산광역시 서구 까치고개로108번가길 15,다세대주택,245000000,100.0,-59
개인사업자,2023-08-06,기간만료미반환,서울특별시 양천구 화곡로10길 20,기타(오피스텔),268000000,100.0,5
개인사업자,2023-08-27,기간만료미반환,부산광역시 동래구 명륜로112번가길 37,다세대주택,270000000,100.0,63
개인사업자,2023-10-20,기간만료미반환,전라남도 순천시 용선길 13,기타(오피스텔),259000000,100.0,-11
개인사업자,2023-08-04,기간만료미반환,경상북도 영천시 효지길 86,다세대주택,280000000,100.0,-37
개인사업자,2023-03-02,기간만료미반환,광주광역시 북구 임유길 9,기타(오피스텔),325000000,100.0,44
개인사업자,2023-11-22,기간만료미반환,서울특별시 은평구 연서로41길 3,다세대주택,459000000,100.0,-43
개인사업자,2023-10-22,기간만료미반환,서울특별시 양천구 중앙로57길 50,다세대주택,225000000,100.0,-50
개인사업자,2024-06-07,기간만료미반환,서울특별시 강북구 도봉로32길 18,다세대주택,315000000,100.0,62
개인사업자,2022-10-15,기간만료미반환,대구광역시 달성군 성화로 7,다세대주택,265000000,100.0,62
개인사업자,2024-09-22,기간만료미반환,충청북도 충주시 왜실길 22,다세대주택,340000000,100.0,62
개인사업자,2023-12-03,기간만료미반환,경상북도 영천시 조흔달길 22,기타(오피스텔),249000000,100.0,63
개인사업자,2025-02-02,기간만료미반환,전라남도 순천시 역전광장3길 23,다세대주택,225000000,100.0,62
개인사업자,2023-01-03,기간만료미반환,,다세대주택,262000000,100.0,62
개인사업자,2024-03-10,기간만료미반환,서울특별시 영등포구 양평로20길 16,다세대주택,295000000,100.0,17
개인사업자,2023-12-11,기간만료미반환,,기타(오피스텔),372000000,100.0,61
개인사업자,2023-12-10,기간만료미반환,,기타(오피스텔),245000000,100.0,20
개인사업자,2024-05-24,기간만료미반환,경기도 수원시 팔달구 팔달로67번길 0,다세대주택,340000000,100.0,60
개인사업자,2023-04-27,기간만료미반환,경기도 용인시 처인구 백옥대로916번길 0,다세대주택,295000000,100.0,-77
개인사업자,2023-11-22,기간만료미반환,부산광역시 부산진구 새싹로 205,기타(오피스텔),249000000,100.0,32
개인사업자,2023-09-05,기간만료미반환,서울특별시 동작구 동작대로15길 26,기타(오피스텔),330000000,100.0,62
개인사업자,2023-07-13,기간만료미반환,부산광역시 수영구 좌수영로173번길 8,다세대주택,309000000,100.0,62
개인사업자,2023-09-27,기간만료미반환,광주광역시 동구 장동로54번길 12,다세대주택,248000000,100.0,-31
개인사업자,2024-05-26,기간만료미반환,,다세대주택,327000000,100.0,15
개인사업자,2024-07-25,기간만료미반환,전라남도 광양시 소미길 86,다세대주택,325000000,100.0,-16
법인사업자,2024-07-29,기간만료미반환,광주광역시 북구 서하로194번길 9,다세대주택,279000000,100.0,16
개인사업자,2023-08-15,기간만료미반환,경상남도 거제시 오송5길 31,다세대주택,254000000,100.0,62
개인사업자,2024-04-29,기간만료미반환,인천광역시 부평구 주부토로219번길 36,기타(오피스텔),364000000,100.0,16
개인사업자,2024-03-05,기간만료미반환,충청남도 아산시 충무로1181번길 48,다세대주택,245000000,100.0,62
개인사업자,2023-05-07,기간만료미반환,경상북도 안동시 선항길 12,다세대주택,345000000,100.0,43
개인사업자,2023-04-20,기간만료미반환,광주광역시 북구 문화소통로302번길 68,기타(오피스텔),372000000,100.0,126
개인사업자,2024-05-12,기간만료미반환,경기도 오산시 오산로226번길 22,다세대주택,275000000,100.0,62
개인사업자,2023-04-30,기간만료미반환,경기도 오산시 큰말25번길 29,기타(오피스텔),225000000,100.0,62
개인사업자,2023-07-26,기간만료미반환,서울특별시 강서구 금낭화로24가길 25,다세대주택,255000000,100.0,1
개인사업자,2024-06-21,기간만료미반환,경상북도 안동시 묵느무길 69,다세대주택,379000000,100.0,-20
개인사업자,2023-02-27,기간만료미반환,광주광역시 북구 설죽로149번길 23,기타(오피스텔),259000000,100.0,-49
개인사업자,2024-05-12,기간만료미반환,경기도 수원시 권선구 산업로155번길 0,기타(오피스텔),363000000,100.0,62
개인사업자,2024-04-05,기간만료미반환,서울특별시 강서구 방화동로1길 49,다세대주택,287000000,100.0,61
개인사업자,2024-10-19,기간만료미반환,서울특별시 강서구 강서로35길 57,다세대주택,245000000,100.0,-63
개인사업자,2023-04-29,기간만료미반환,전라남도 함평군 석천동길 46,다세대주택,269000000,100.0,47
개인사업자,2023-02-03,기간만료미반환,대구광역시 수성구 지범로46길 40,기타(오피스텔),238000000,100.0,62
개인사업자,2023-01-05,기간만료미반환,광주광역시 광산구 본량용산길 2,다세대주택,170000000,100.0,62
개인사업자,2022-12-20,기간만료미반환,서울특별시 강서구 까치산로11길 28,다세대주택,198000000,100.0,-23
개인사업자,2023-06-28,기간만료미반환,광주광역시 북구 중가로37번길 13,기타(오피스텔),234000000,100.0,93
개인사업자,2024-04-28,기간만료미반환,서울특별시 강서구 남부순환로7길 5,다세대주택,285000000,100.0,62
개인사업자,2024-01-14,기간만료미반환,서울특별시 강서구 남부순환로7길 5,다가구주택,279000000,100.0,63
개인사업자,2023-08-09,기간만료미반환,부산광역시 수영구 수영로427번길 54,아파트,401000000,100.0,62
개인사업자,2023-08-06,기간만료미반환,서울특별시 광진구 용마산로8다길 14,다세대주택,209000000,100.0,61
개인사업자,2023-09-30,기간만료미반환,서울특별시 강서구 양천로60길 7,기타(오피스텔),249000000,100.0,-12
개인사업자,2024-09-11,기간만료미반환,광주광역시 광산구 동곡로212번길 77,다세대주택,330000000,100.0,57
개인사업자,2023-09-06,기간만료미반환,전라남도 나주시 가야길 598,기타(오피스텔),340000000,100.0,62
개인사업자,2024-03-07,기간만료미반환,서울특별시 강서구 등촌로51가길 15,다세대주택,285000000,100.0,61
개인사업자,2023-02-18,기간만료미반환,광주광역시 광산구 풍영로228번길 38,다세대주택,407000000,100.0,62
개인사업자,2023-12-08,기간만료미반환,인천광역시 서구 서곶로314번길 18,기타(오피스텔),275000000,100.0,62
개인사업자,2025-07-12,기간만료미반환,서울특별시 서대문구 홍연6안길 18,다세대주택,357000000,100.0,63
개인사업자,2023-01-24,기간만료미반환,부산광역시 사상구 사상로162번길 22,기타(오피스텔),170000000,100.0,61
개인사업자,2024-03-11,기간만료미반환,전라남도 광양시 부암길 90,아파트,260000000,100.0,61
개인사업자,2023-03-25,기간만료미반환,경상남도 김해시 한림로898번길 35,기타(오피스텔),340000000,100.0,62
개인사업자,2023-04-25,기간만료미반환,경기도 용인시 수지구 풍덕천로172번길 0,기타(오피스텔),258000000,100.0,60
개인사업자,2022-12-20,기간만료미반환,서울특별시 관악구 관악로11길 23,기타(오피스텔),238000000,100.0,17
개인사업자,2022-10-29,기간만료미반환,서울특별시 영등포구 경인로 791,다세대주택,215000000,100.0,62
개인사업자,2024-05-18,기간만료미반환,서울특별시 동대문구 한천로33가길 23,기타(오피스텔),375000000,100.0,-1
개인사업자,2023-05-20,기간만료미반환,서울특별시 양천구 중앙로 290,다세대주택,400000000,100.0,62
개인사업자,2023-12-29,기간만료미반환,,다세대주택,295000000,100.0,62
개인사업자,2023-08-02,기간만료미반환,광주광역시 북구 비엔날레로13번길 52,기타(오피스텔),310000000,100.0,92
개인사업자,2023-01-07,기간만료미반환,대구광역시 달성군 하빈로66길 78,다세대주택,247000000,100.0,69
개인사업자,2024-01-14,기간만료미반환,광주광역시 동구 지호로52번길 6,기타(오피스텔),255000000,100.0,62
개인사업자,2023-12-30,기간만료미반환,경기도 수원시 권선구 곡선로 0,다세대주택,258000000,100.0,-13
개인사업자,2023-02-16,기간만료미반환,서울특별시 강동구 천중로31길 6,기타(오피스텔),365000000,100.0,62
개인사업자,2026-01-11,기간만료미반환,전라남도 순천시 선변용두길 18,다세대주택,300000000,100.0,-14
개인사업자,2024-08-30,기간만료미반환,광주광역시 북구 송월로30번길 6,다세대주택,295000000,100.0,62
개인사업자,2026-01-31,기간만료미반환,서울특별시 성북구 인촌로2길 80,다세대주택,284000000,100.0,25
개인사업자,2023-05-21,기간만료미반환,서울특별시 강서구 화곡로41길 46,다세대주택,283000000,100.0,-16
개인사업자,2024-03-20,기간만료미반환,경기도 화성시 매바위로165번길 0,기타(오피스텔),280000000,100.0,62
개인사업자,2022-09-28,기간만료미반환,부산광역시 부산진구 중앙대로970번길 34,다세대주택,205000000,100.0,69
개인사업자,2022-12-10,기간만료미반환,광주광역시 북구 자미로23번길 2,다세대주택,249000000,100.0,-23
개인사업자,2024-05-09,기간만료미반환,광주광역시 북구 비엔날레로4번길 20,기타(오피스텔),488000000,100.0,-64
개인사업자,2023-11-03,기간만료미반환,서울특별시 강서구 곰달래로38길 20,다세대주택,201300000,100.0,43
개인사업자,2023-03-21,기간만료미반환,부산광역시 동래구 여고로25번길 41,기타(오피스텔),195000000,100.0,62
개인사업자,2023-10-28,기간만료미반환,,기타(오피스텔),245000000,100.0,4
개인사업자,2023-04-20,기간만료미반환,부산광역시 수영구 망미배산로24번길 105,다세대주택,217000000,100.0,60
개인사업자,2022-12-09,기간만료미반환,서울특별시 성북구 화랑로18마길 9,다세대주택,268000000,100.0,24
개인사업자,2023-06-27,기간만료미반환,서울특별시 강서구 초록마을로15길 12,다세대주택,274000000,100.0,62
개인사업자,2023-06-06,기간만료미반환,대구광역시 달성군 명천로27길 70,다세대주택,315000000,100.0,62
개인사업자,2023-05-13,기간만료미반환,충청남도 예산군 신가꽃산서길 120,다세대주택,297000000,100.0,53
개인사업자,2023-05-13,기간만료미반환,경상북도 김천시 새까끔길 5,다세대주택,221000000,100.0,4
