상품명,경/공매신청일자,신청청구금액,채권구분,발생일자,발생금액,발생금액대비 총회수금액(%),신청일자대비 배당 소요일
전세보증금반환보증,2025-03-06,151191001,소송대지급금,2025-04-18,2863500,80.73,454
전세보증금반환보증,2024-11-19,197597807,소송대지급금,2025-01-10,2788370,100.0,568
전세보증금반환보증,2023-05-26,300000000,소송대지급금,2023-09-12,551000,100.0,433
전세보증금반환보증,2024-09-02,387586576,소송대지급금,2024-12-19,2768500,100.0,574
전세보증금반환보증,2023-12-18,95000000,소송대지급금,2023-06-09,551000,100.0,504
전세보증금반환보증,2023-09-26,250000000,소송대지급금,2024-04-25,2611930,100.0,386
전세보증금반환보증,2024-04-29,275313658,소송대지급금,2024-09-20,551000,100.0,402
전세보증금반환보증,2023-01-12,176857668,소송대지급금,2023-02-09,4135500,100.0,326
전세보증금반환보증,2024-08-31,185000000,소송대지급금,2025-03-12,4455500,100.0,413
전세보증금반환보증,2024-05-28,173000000,소송대지급금,2024-06-14,2233060,100.0,295
전세보증금반환보증,2024-07-04,307000000,소송대지급금,2024-11-20,4206560,99.8,545
전세보증금반환보증,2025-02-14,251000000,소송대지급금,2025-04-08,1345700,100.0,241
전세보증금반환보증,2025-01-17,255262055,소송대지급금,2024-11-26,4461500,100.0,358
전세보증금반환보증,2024-07-10,170000000,구상채권(신상품),2024-12-30,2659380,100.0,398
전세보증금반환보증,2023-06-21,120000000,소송대지급금,2024-05-10,2830300,100.0,545
개인임대사업자임대보증금보증,2025-08-27,114502070,소송대지급금,2026-01-13,550000,100.0,386
전세보증금반환보증,2024-05-07,415000000,소송대지급금,2024-07-10,1021000,100.0,408
전세보증금반환보증,2024-04-18,159000000,소송대지급금,2024-03-19,3581100,100.0,295
전세보증금반환보증,2024-04-07,138875332,소송대지급금,2024-07-25,2833850,100.0,433
전세보증금반환보증,2025-01-02,284556456,소송대지급금,2025-04-17,2817660,100.0,393
전세보증금반환보증,2023-11-20,219000000,소송대지급금,2024-05-08,1579400,100.0,574
전세보증금반환보증,2024-11-13,144000000,소송대지급금,2025-05-22,3356620,100.0,239
전세보증금반환보증,2024-09-05,196000000,소송대지급금,2024-11-22,550000,98.11,457
전세보증금반환보증,2024-04-01,76000000,소송대지급금,2023-09-05,2768500,100.0,391
전세보증금반환보증,2024-03-26,185000000,소송대지급금,2024-02-05,3131200,77.72,366
전세보증금반환보증,2025-03-12,275000000,소송대지급금,2025-03-26,550000,100.0,337
전세보증금반환보증,2024-09-18,289000000,소송대지급금,2024-07-18,2756360,100.0,274
전세보증금반환보증,2024-11-05,352863288,소송대지급금,2025-01-02,552000,100.0,384
전세보증금반환보증,2025-01-22,163000000,소송대지급금,2024-11-19,2553420,100.0,288
전세보증금반환보증,2023-12-05,251180560,소송대지급금,2024-01-12,699860,100.0,384
전세보증금반환보증,2024-04-01,345000000,소송대지급금,2023-04-07,2364500,80.09,570
개인임대사업자임대보증금보증,2025-01-17,130000000,소송대지급금,2024-06-25,2183500,100.0,286
전세보증금반환보증,2024-05-14,185000000,소송대지급금,2024-11-04,551000,100.0,435
전세보증금반환보증,2024-11-27,255183497,소송대지급금,2025-07-09,2676300,100.0,422
전세보증금반환보증,2025-01-17,278000000,소송대지급금,2025-07-17,556500,100.0,487
전세보증금반환보증,2024-01-19,230000000,소송대지급금,2024-01-11,3445670,100.0,454
전세보증금반환보증,2025-09-05,204811294,소송대지급금,2025-12-26,3175300,99.66,428
전세보증금반환보증,2025-08-27,180000000,소송대지급금,2026-04-10,2150700,100.0,391
전세보증금반환보증,2024-10-15,117821286,소송대지급금,2024-12-31,550000,100.0,617
개인임대사업자임대보증금보증,2023-11-09,190000000,소송대지급금,2024-01-19,2259580,100.0,419
전세보증금반환보증,2024-11-13,354000000,소송대지급금,2025-04-02,2913590,100.0,485
전세보증금반환보증,2024-08-23,245000000,소송대지급금,2025-01-14,3389100,100.0,362
전세보증금반환보증,2024-09-24,150000000,소송대지급금,2024-10-08,2329430,100.0,407
전세보증금반환보증,2025-01-23,100802328,소송대지급금,2025-04-18,551000,100.0,573
개인임대사업자임대보증금보증,2025-03-26,282000000,소송대지급금,2025-07-14,3020500,100.0,334
전세보증금반환보증,2025-02-18,153840160,소송대지급금,2025-07-18,2672680,100.0,276
전세보증금반환보증,2024-06-18,298500000,소송대지급금,2024-12-17,2720500,100.0,387
전세보증금반환보증,2023-11-10,235000000,소송대지급금,2024-02-16,132000,100.0,581
전세보증금반환보증,2024-04-16,145000000,소송대지급금,2024-07-23,355200,100.0,460
전세보증금반환보증,2024-11-25,125000000,소송대지급금,2025-01-07,817700,97.52,398
개인임대사업자임대보증금보증,2024-01-03,0,소송대지급금,2024-10-24,4012300,100.0,492
전세보증금반환보증,2024-11-29,290928326,소송대지급금,2024-11-05,551000,100.0,451
전세보증금반환보증,2025-02-20,105000000,소송대지급금,2024-12-31,551000,90.07,346
전세보증금반환보증,2024-01-24,78000000,소송대지급금,2024-06-14,1322200,100.0,349
전세보증금반환보증,2023-09-21,255732287,소송대지급금,2024-01-17,556500,100.0,637
전세보증금반환보증,2023-09-01,205000000,소송대지급금,2024-06-24,1766360,100.0,401
전세보증금반환보증,2024-03-11,100000000,소송대지급금,2024-03-11,2216500,100.0,441
전세보증금반환보증,2024-10-04,248528781,소송대지급금,2025-06-25,551500,100.0,421
전세보증금반환보증,2024-05-07,280000000,소송대지급금,2025-01-03,2502300,100.0,654
전세보증금반환보증,2024-03-27,127000000,소송대지급금,2024-03-27,550000,100.0,477
전세보증금반환보증,2023-12-11,136000000,소송대지급금,2023-06-21,2777500,79.91,413
전세보증금반환보증,2024-04-13,125000000,소송대지급금,2024-07-09,2025030,88.67,448
전세보증금반환보증,2025-02-27,339000000,소송대지급금,2025-01-21,3953360,100.0,320
전세보증금반환보증,2025-03-12,227000000,소송대지급금,2024-12-31,52000,100.0,299
개인임대사업자임대보증금보증,2024-11-20,364000000,소송대지급금,2025-06-11,299200,100.0,431
전세보증금반환보증,2024-12-17,86000000,소송대지급금,2024-07-23,865100,100.0,289
개인임대사업자임대보증금보증,2024-06-24,169451576,소송대지급금,2024-03-08,551000,96.27,236
전세보증금반환보증,2025-05-28,245000000,소송대지급금,2024-11-20,2568500,100.0,396
전세보증금반환보증,2023-09-13,290000000,소송대지급금,2023-01-26,556500,100.0,496
개인임대사업자임대보증금보증,2024-08-21,147000000,소송대지급금,2024-06-28,3811830,100.0,400
전세보증금반환보증,2024-09-24,168000000,소송대지급금,2024-09-09,2668550,100.0,336
전세보증금반환보증,2023-10-26,245000000,소송대지급금,2024-05-24,2821190,100.0,555
전세보증금반환보증,2024-05-22,250000000,소송대지급금,2024-10-15,550000,100.0,594
전세보증금반환보증,2024-11-13,198098526,소송대지급금,2024-09-10,558000,100.0,520
전세보증금반환보증,2024-08-29,200000000,소송대지급금,2025-09-04,550000,91.23,478
전세보증금반환보증,2024-07-16,291302033,소송대지급금,2025-05-09,2355500,100.0,429
개인임대사업자임대보증금보증,2024-02-26,298420565,소송대지급금,2025-06-25,2882090,100.0,645
전세보증금반환보증,2025-04-30,138000000,소송대지급금,2025-12-26,551000,100.0,418
전세보증금반환보증,2024-04-29,304000000,소송대지급금,2024-12-27,2583540,100.0,598
전세보증금반환보증,2024-07-24,232000000,소송대지급금,2025-04-09,3571500,100.0,302
전세보증금반환보증,2024-11-18,244000000,구상채권(신상품),2025-06-24,3487620,100.0,421
개인임대사업자임대보증금보증,2024-05-07,185000000,소송대지급금,2024-03-20,3155670,100.0,418
전세보증금반환보증,2023-11-16,200000000,소송대지급금,2024-03-08,2716500,100.0,616
전세보증금반환보증,2024-11-28,120000000,소송대지급금,2024-12-20,2851000,100.0,414
전세보증금반환보증,2025-01-10,527000000,소송대지급금,2025-01-03,3267450,100.0,302
개인임대사업자임대보증금보증,2023-07-20,240000000,소송대지급금,2023-04-07,2705600,100.0,326
개인임대사업자임대보증금보증,2023-10-27,276285040,소송대지급금,2024-03-28,551700,100.0,510
개인임대사업자임대보증금보증,2024-02-27,250000000,소송대지급금,2024-11-22,551000,100.0,427
전세보증금반환보증,2023-10-19,180000000,소송대지급금,2024-04-26,974200,89.92,581
전세보증금반환보증,2025-03-20,119000000,소송대지급금,2024-06-27,3132070,100.0,342
전세보증금반환보증,2024-06-18,161985614,소송대지급금,2024-08-05,3146300,100.0,385
전세보증금반환보증,2025-05-12,249000000,소송대지급금,2025-06-24,2812580,100.0,331
전세보증금반환보증,2025-01-06,265000000,소송대지급금,2025-01-03,271100,100.0,344
전세보증금반환보증,2024-12-24,170000000,소송대지급금,2024-12-19,2704700,67.27,370
전세보증금반환보증,2024-08-29,280000000,소송대지급금,2024-06-27,1796048,100.0,358
전세보증금반환보증,2023-07-06,245916903,소송대지급금,2023-09-11,4480260,100.0,467
