상품명,최초 발급일자,개인사업자/법인사업자,대위변제금액(보증이행),주택형태,
임대보증금보증(세대_사용검사후),2025-12-19,법인사업자,62400000,아파트,
임대보증금보증(세대_사용검사후),2023-09-12,법인사업자,198000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-24,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2025-11-25,법인사업자,189400000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,183300000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-08,법인사업자,243000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-15,법인사업자,188100000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-01,법인사업자,188000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-14,법인사업자,82340000,아파트,
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,173200000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-01,법인사업자,173000000,아파트,
임대보증금보증(세대_사용검사후),2024-09-25,법인사업자,173200000,아파트,
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,249500000,아파트,
임대보증금보증(세대_사용검사후),2025-03-25,법인사업자,85000000,아파트,
임대보증금보증(세대_사용검사후),2024-05-14,법인사업자,120000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,240000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-02-02,법인사업자,180000000,아파트,
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,143500000,아파트,
임대보증금보증(세대_사용검사후),2024-03-08,법인사업자,160300000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-12-05,법인사업자,28006010,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-08-12,법인사업자,180400000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,187000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-12-26,법인사업자,228020000,아파트,
임대보증금보증(세대_사용검사후),2023-07-18,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2024-12-30,법인사업자,79700000,아파트,
임대보증금보증(세대_사용검사후),2025-08-04,법인사업자,182300000,아파트,
임대보증금보증(세대_사용검사후),2024-07-25,법인사업자,50000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,247500000,아파트,
임대보증금보증(세대_사용검사후),2024-12-05,법인사업자,93278000,아파트,
임대보증금보증(세대_사용검사후),2025-12-19,법인사업자,92000000,아파트,
임대보증금보증(세대_사용검사후),2025-04-25,법인사업자,47560000,아파트,
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,187230000,아파트,
임대보증금보증(세대_사용검사후),2024-05-14,법인사업자,30000000,아파트,
임대보증금보증(세대_사용검사후),2025-01-21,법인사업자,83000000,아파트,
임대보증금보증(세대_사용검사후),2024-05-14,법인사업자,245000000,다세대주택,
임대보증금보증(세대_사용검사후),2026-01-12,법인사업자,42200000,아파트,
임대보증금보증(세대_사용검사후),2024-05-24,법인사업자,188100000,아파트,
임대보증금보증(세대_사용검사후),2024-06-28,법인사업자,126000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-11-29,법인사업자,166700000,아파트,
임대보증금보증(세대_사용검사후),2024-01-02,법인사업자,130000000,아파트,
임대보증금보증(세대_사용검사후),2023-09-04,법인사업자,27588010,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-06-19,법인사업자,62400000,아파트,
임대보증금보증(세대_사용검사후),2024-12-26,법인사업자,132600000,기타(오피스텔),
